created_at;author.username;text
03-12-2016 0:31;EnAtacama;simple, #NoMasAFP https://t.co/gP2od0RHAU
09-11-2016 12:08;Ramirowski;Donald lo dice,  no sea webon #trump #trumpwins #AFP #NOMasAFP https://t.co/7ATXVnz4eH
07-11-2016 14:26;Pensadorazo;#NOMasAFP  exacto!! https://t.co/ohVABuwrOh
04-11-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/LiFpKfYoNB Thanks to @Chile_Alerta @SindicatoCDF @papurri_pop #nomasafps #nomasafp
04-11-2016 22:00;me4macmango;Proposiciones no son hechos @marcoporchile #nomasafp https://t.co/GAwFbuSBrk
04-11-2016 15:55;crissjosemaria;Chile quiere soluciones! #NOMasAFP
04-11-2016 11:05;Estupidokiltro;No mas afp s https://t.co/cTuo14Gy2V
02-11-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/iYvx0da8SK Thanks to @reneodista @UNE_Chile @JulioStgoCentro #secos #nomasafp
31-10-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/KbMhxdIGaM Thanks to @cientist_rgodoy @mxmg @Izquierda_Tuit #nomasafp #secos
29-10-2016 23:07;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/nsrKm9a2rB Thanks to @pelucheduenas @SindicatoCDF @Cata_Gaete #nomasafp #secos
27-10-2016 23:08;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/8znzl72hmO Thanks to @jaran_13 @AFielbaum @LuisMesina1 #nestorvive #nomasafp
26-10-2016 23:53;CHUCKY_MUSTAINE;Impotencia!!\n#NOMasAFP https://t.co/9HD1Mp2y75
25-10-2016 23:07;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/Mmk2Qdypjs Thanks to @eduardogonzalo @Marccella85 @jaran_13 #conladcnosejuega #nomasafp
21-10-2016 20:10;berniap;Gran noticia #NOmasAFP https://t.co/pUjEjkfP96
21-10-2016 0:39;YanyMicifuzza;Carlos Andres @cfaundar  \n#NOmasAFP https://t.co/ysfKVLQ38u
17-10-2016 23:50;JALULAMA;me sumo #nomasafp https://t.co/MX4GuC21vw
17-10-2016 23:38;rockeroapata;#ModoTermometro  no mas afp simple
17-10-2016 22:50;derdrew;#ModoTermometro he dicho #EliminarAfps  #NOmasAFP https://t.co/gFSubLZfrb
17-10-2016 12:30;mordelon51;No mas AFP y no mas ONGs https://t.co/wHVcHBvRQi
17-10-2016 11:27;Claudio_2012;The latest El Diario de Claudio Rodriguez! https://t.co/THnniaNUoJ Thanks to @LyDChile @amnistiachile #temuco #nomasafp
17-10-2016 9:38;Pensadorazo;@diegoolaguna #NOmasAFP cagar a quien por ser?
17-10-2016 7:55;ErickupaLeiva;¿Quien quiere votar?. #Servel #LeyCorta #Davalos #Gendarmeria #RegistroCivil #SQM #Pensiones #NOmasAFP #CauCau #JavieraBlanco #Serviu #Salud
16-10-2016 23:08;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/RvDMyR1baF Thanks to @pelucheduenas @Karilo23Rojas @R_Montero_R #nomasafp #concepción
16-10-2016 19:10;csandersonf;Simple... #NOmasAFP
16-10-2016 14:39;InfoNodal;#nodalrecomienda #chile Marchas #NOmasAFP @LuisMesina1 https://t.co/hy6rngMaJJ
16-10-2016 14:00;paoferreiray;Cueck! #NOmasAFP https://t.co/KE9vpiDRj0
16-10-2016 13:36;InfoNodal;#nodalinforma #chile Marchas #NOmasAFP @rvfradiopopular https://t.co/6MvdHAKA48
16-10-2016 13:22;vancenit;Somos + que miles!\n\n#NOmasAFP https://t.co/TYOpPimo9Q
16-10-2016 13:17;InfoNodal;#nodalinforma #chile Marchas #nomasafp @ChilePeriodista https://t.co/ZXH6sO5RoR
16-10-2016 13:05;miripaobra;Somos miles marchando #NOmasAFP https://t.co/XqIsUl5Q5m
16-10-2016 12:46;AndreXikis;Marchando #NOmasAFP https://t.co/rEWjTvRmYS
16-10-2016 10:31;SoledadBravo;Saliendo con @carmelapolis #NoMasAFP https://t.co/Sudzupkltu
15-10-2016 23:08;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/q4afSWI4RK Thanks to @TuTioPelao @Cata_Gaete #coyhaique #nomasafp
15-10-2016 20:26;mariela2770;The latest Libertad para Expresarse! https://t.co/MBptjGux3S Thanks to @grantokylautaro @JulioStgoCentro @COLECTIVODIGNID #nomasafp
14-10-2016 10:09;lusr20;Retweeted Sandry Nave ? (@sandrynave):\n\n#NuncaEsTardePara para recordar #NOmasAFP y decir #YoMarchoEl16 por un... https://t.co/vXKWfUyC4f
06-10-2016 23:05;AICH_Oficial;Todo chile dice #NOmasAFP favor RT @LuisMesina1 @Chileokulto @NOmasAFP @carolinahegel @Carlinho_13 @illapu @inti_illimani https://t.co/26ZIa8faQg
06-10-2016 22:51;AICH_Oficial;Todo chile dice #NOmasAFP favor RT https://t.co/eWitBnltvW
04-10-2016 22:08;AICH_Oficial;Todo chile dice #NOmasAFP favor rt https://t.co/BdcQvlOPAz
22-09-2016 22:59;charolastar;@ccifuentesh @GiorgioJackson @AFP_Capital defendiendo lo indefendible #NOmasAFP
18-09-2016 14:25;simonaxm;#NOmasAFP \n#NoMasSegregacion en pensiones. https://t.co/S3uNX5haVL
13-09-2016 19:50;Maritxu508;Se refiere a  las comisiones fantasmas @felicesforrados @LuisMesina1 #NoMasAFP https://t.co/c1qtmFmu2D
13-09-2016 16:29;The_answer_93;I liked a @YouTube video https://t.co/Qq9P2WYOyW No mas AFP en Chile MIERDA!!! LAD.COBRA
13-09-2016 13:10;djfoxmix;#aviones #militares #santiago #nomasafp  momento exacto XD https://t.co/wcinGSddrf
12-09-2016 15:52;Katsuru;I liked a @YouTube video https://t.co/r7nX31pVSI No mas AFP en Chile MIERDA!!! LAD.COBRA
06-09-2016 22:11;Giocondavirtual;El video en que #Piñera tbn. dice #NoMasAfp ???????? https://t.co/4yXu6Jccuv
05-09-2016 21:21;edupakis;Aprendiendo haciendo xD Evento #MamaCultiva \n#NoMasAFP \n#NoAltoMaipo @ Ip Los Leones https://t.co/NfV0jiPcRE
02-09-2016 9:31;edojsanchez;Justo ahora???   https://t.co/4ZTypTk0aB  #NoMásAFP https://t.co/xzVudVLXin
29-08-2016 14:18;Batigala;#HayCosasTristesY Las pensiones en Chile #nomasafp
29-08-2016 1:21;pedrogdigital;#NoMasAFP por favor. https://t.co/SiUhFYGw3l
28-08-2016 6:05;CieloAustralCoq;AFP son inviables, X eso y x mucho +#NOMasAFP @SinFiltroCL @chileconvoca https://t.co/iNGRiUV9oV
27-08-2016 12:24;djotto_nax;#NoMasAFP notable #NegroPiñera vamor  por #UnMañanaMejor https://t.co/IKxVIZHhSi
25-08-2016 11:30;fijito;@RNchile @bprokurica @paulinanu @latercera #NOMasAFP chantas!
24-08-2016 20:30;mariela2770;The latest Libertad para Expresarse! https://t.co/Izu2LDDFuE Thanks to @villa_grimaldi @jaran_13 @rafa_cavada #perunews #nomasafp
23-08-2016 15:18;Liberta_Alegria;#EsDeUniversitario Movilizarse por causas justas #NOMasAFP \nhttps://t.co/A99ueQhk4e
